"","Pais","grupos.tamanio","grupos.calif","periodo","ocupados","asalariados","tcp","tasa.asalarizacion","seguridad.social.si.asal","seguridad.social.no.asal","registrados.asal","no.registrados.asal","empleo.temporal.asal","empleo.no.temporal.asal","part.involun.asal","part.volunt.asal","full.time.asal","seguridad.social.si.tcp","seguridad.social.no.tcp","registrados.tcp","no.registrados.tcp","empleo.temporal.tcp","empleo.no.temporal.tcp","part.involun.tcp","part.volunt.tcp","full.time.tcp","tasa.1.asalariados","tasa.2.asalariados","tasa.3.asalariados","promedio.ing.oc.prin","promedio.ing.oc.prin.asal","promedio.ing.oc.prin.tcp","tasa.partime.asal","tasa.seguridad.social.asal","tasa.no.registro.asal","tasa.temp.asal","tasa.partime.tcp","tasa.seguridad.social.tcp","tasa.no.registro.tcp","tasa.temp.tcp","particip.ocup","particip.asal","particip.tcp","tamanio.calif","tamanio.calif2"
"11","Brasil","Pequeño","Media",2019,21578415.4928354,8559288.12941285,8559288.12941285,0.396616186484307,5308612.75256808,3250675.37684477,4879470.34101451,3679817.78839834,0,0,499025.32650357,825724.676043018,7234538.12686627,3933869.25814693,9085258.10527566,0,0,0,0,1490376.22682141,3056970.85165714,8471780.28494403,0.603016682556047,0.211084215586894,0.0202025436265944,1324.5740339344,1267.54319860463,1362.0355181362,0.0583116990632437,0.379671005066381,0.429806863650407,0.23224889500956,0.114467437049732,0.697788727599756,0,0.19596674374871,0.375023245745671,0.218358038165942,0.218358038165942,"Pequeño - Media","2) Pequeño - Media"
"12","Brasil","Pequeño","Alta",2019,5502063.33559328,2076621.99414759,2076621.99414759,0.377412539835351,1504648.93038508,571973.06376251,1250340.56370544,826281.43044215,0,0,119446.125348942,298173.709846582,1659002.15895207,1711041.13044728,1714400.21099841,0,0,0,0,430646.922134575,813409.354234555,2181385.06507656,0.487922682413699,0.162723035919706,0.0150075886172008,3263.92979828365,2359.92696153752,3807.87399379814,0.0574488980553808,0.275268427697085,0.397745820456212,0.166516440765139,0.125756651988451,0.500477878377344,0,0.209336387771632,0.0956319786179413,0.0529873718527594,0.0529873718527594,"Pequeño - Alta","3) Pequeño - Alta"
"13","Brasil","Mediano","Baja",2019,1314412.85871037,1314412.85871037,1314412.85871037,1,1032744.16155913,281668.69715124,1004376.177172,310036.681538368,0,0,55537.9580284775,73772.5707407925,1185102.3299411,0,0,0,0,0,0,0,0,0,0.242423398388395,0.215803431866828,0.0334264099150596,1182.48285845944,1182.48285845944,0,0.0422294515774082,0.213891786295437,0.235532002297437,0.274840634158705,0,0,0,0,0.0228417961393763,0.0335308629915455,0.0335308629915455,"Mediano - Baja","4) Mediano - Baja"
"14","Brasil","Mediano","Media",2019,4138801.90020971,4138801.90020971,4138801.90020971,1,3629846.31694074,508955.583268977,3506691.98999814,632109.910211575,0,0,92413.383737205,230219.456701855,3816169.05977065,0,0,0,0,0,0,0,0,0,0.158064977138507,0.124516118339088,0.0155255880451105,1573.33813799415,1573.33813799415,0,0.0223321768788796,0.122996406679957,0.152778099963868,0.168173692559101,0,0,0,0,0.0719316204459012,0.105594943506272,0.105594943506272,"Mediano - Media","5) Mediano - Media"
"15","Brasil","Mediano","Alta",2019,2037573.51154391,2037573.51154391,2037573.51154391,1,1770163.04604316,267410.465500752,1595904.54347401,441668.9680699,0,0,91948.8238885225,271281.328647935,1674343.35900745,0,0,0,0,0,0,0,0,0,0.236460324798028,0.136806438069613,0.0198870666659844,3040.67468711654,3040.67468711654,0,0.0452360618822637,0.131195601561498,0.216722166089863,0.144854108251705,0,0,0,0,0.0354105989773499,0.0519822901206336,0.0519822901206336,"Mediano - Alta","6) Mediano - Alta"
"16","Brasil","Grande","Baja",2019,2934808.23468084,2934808.23468084,2934808.23468084,1,2731189.55757776,203618.677103083,2684395.64550918,250412.589171662,0,0,55578.38790579,111932.025039278,2767297.82173577,0,0,0,0,0,0,0,0,0,0.0942260697166248,0.0702109969633316,0.00904039197725193,1285.10039810389,1285.10039810389,0,0.0189233125744051,0.0693031686010601,0.0852509774817431,0.200415600467734,0,0,0,0,0.0510075378823391,0.074877852351943,0.074877852351943,"Grande - Baja","7) Grande - Baja"
"17","Brasil","Grande","Media",2019,8804863.4386081,8804863.4386081,8804863.4386081,1,8352010.67843867,452852.760169425,8193720.27591102,611143.162697083,0,0,124939.561054533,484701.36179568,8195222.51575789,0,0,0,0,0,0,0,0,0,0.0769536784800737,0.05246861671543,0.00560703141755305,1758.68442315813,1758.68442315813,0,0.0141907855019261,0.0514296471470236,0.0694088939641072,0.114146897421606,0,0,0,0,0.153048836003481,0.224676296643376,0.224676296643376,"Grande - Media","8) Grande - Media"
"18","Brasil","Grande","Alta",2019,5797439.2222592,5797439.2222592,5797439.2222592,1,5454602.48429651,342836.737962693,5156279.45909493,641159.763164268,0,0,140994.58617992,470331.459864902,5186113.17621438,0,0,0,0,0,0,0,0,0,0.123078399585868,0.0612105753591584,0.00971006985295679,4685.7053783804,4685.7053783804,0,0.02431924630341,0.0591107741224789,0.110569024372094,0.130642978387859,0,0,0,0,0.100764692923614,0.147924701964238,0.147924701964238,"Grande - Alta","9) Grande - Alta"
"19","Chile","Pequeño","Baja",2019,420325.693574172,201012.770394066,201012.770394066,0.478230984846027,87142.6492559428,110049.189084314,96434.5931387611,104578.177255305,88253.5261847317,112759.244209334,25905.2207448563,18686.8636201758,156420.686029034,0,0,0,0,0,0,85766.6687287402,76451.0981516719,57095.1562996938,0.519480110786429,0.23396988911421,0.133765606879743,232445.037185744,307602.154023764,170327.428353743,0.128873507360113,0.558081865915884,0.520256384956485,0.409381343553813,0.391069835215803,0,0,0.35935424051734,0.0656226812252663,0.0416761383710949,0.0416761383710949,"Pequeño - Baja","1) Pequeño - Baja"
"20","Chile","Pequeño","Media",2019,1753703.01297386,649624.581847485,649624.581847485,0.370430213691587,333775.466123309,308934.038376355,367210.854823474,282413.72702401,169500.895193431,480123.686654053,58741.9962266298,68647.149708171,522000.677830557,0,0,0,0,0,0,282214.962777965,225784.601013698,590780.747957651,0.36192259815289,0.152949091032285,0.0722800369500767,320429.823009879,359358.304142916,297756.495702746,0.0904572170318685,0.480674451231049,0.434733744558814,0.299648572903116,0.256843847455425,0,0,0.38460214367371,0.273794097157339,0.134687183850384,0.134687183850384,"Pequeño - Media","2) Pequeño - Media"
